university,faculty,major,Min_Score_66,Min_Score_67,Notes
จุฬาลงกรณ์,พาณิชยศาสตร์และการบัญชี,บัญชีบัณฑิต (รูปแบบคณิต1),66.83,64.50,คะแนนสูงเกาะกลุ่ม
จุฬาลงกรณ์,อักษรศาสตร์,เอกรวม (รูปแบบพื้นฐาน),78.55,76.40,การแข่งขันสูงมาก
มหิดล,ICT,นานาชาติ,54.50,52.80,ภาษาอังกฤษสำคัญมาก
ธรรมศาสตร์,นิติศาสตร์,พื้นฐานวิทย์/ศิลป์คำนวณ,65.20,63.80,
ธรรมศาสตร์,พาณิชยศาสตร์และการบัญชี,บัญชี (4 ปี),63.45,61.20,
ธรรมศาสตร์,รัฐศาสตร์,ปกครอง/ระหว่างประเทศ,66.80,64.50,คะแนนเฟ้อเล็กน้อย
เกษตรศาสตร์,วิศวกรรมศาสตร์,ทั่วไป,54.20,52.80,รับจำนวนมาก
เกษตรศาสตร์,เศรษฐศาสตร์,ภาคพิเศษ,45.50,44.10,
เชียงใหม่,วิศวกรรมศาสตร์,เครื่องกล,42.50,41.20,
เชียงใหม่,มนุษยศาสตร์,ภาษาอังกฤษ,58.20,56.50,
ขอนแก่น,ศึกษาศาสตร์,วิทย์ทั่วไป,48.50,47.20,
สงขลานครินทร์,วิศวกรรมศาสตร์,ทั่วไป (หาดใหญ่),38.50,37.20,
มศว (SWU),นวัตกรรมสื่อสารสังคม,ภาพยนตร์,62.50,60.80,สายศิลป์ยอดนิยม
ลาดกระบัง (KMITL),วิศวกรรมศาสตร์,คอมพิวเตอร์,62.10,59.40,คะแนนสูงสุดในคณะ
ลาดกระบัง (KMITL),วิศวกรรมศาสตร์,ไฟฟ้า,52.35,50.15,
ลาดกระบัง (KMITL),วิศวกรรมศาสตร์,เครื่องกล,50.85,48.50,
ลาดกระบัง (KMITL),วิศวกรรมศาสตร์,โยธา,48.20,46.10,
ลาดกระบัง (KMITL),วิศวกรรมศาสตร์,เคมี,45.50,44.20,
ลาดกระบัง (KMITL),วิศวกรรมศาสตร์,อุตสาหการ,47.80,45.50,
ลาดกระบัง (KMITL),วิศวกรรมศาสตร์,ชีวการแพทย์,50.15,48.75,
ลาดกระบัง (KMITL),วิศวกรรมศาสตร์,หุ่นยนต์และปัญญาประดิษฐ์,56.75,54.20,เทรนด์ AI มาแรง
ลาดกระบัง (KMITL),วิศวกรรมศาสตร์,ซอฟต์แวร์ (SE),58.40,56.10,
ลาดกระบัง (KMITL),วิศวกรรมศาสตร์,โทรคมนาคมและโครงข่าย,43.20,41.50,
ลาดกระบัง (KMITL),วิศวกรรมศาสตร์,อิเล็กทรอนิกส์,44.50,42.80,
ลาดกระบัง (KMITL),วิศวกรรมศาสตร์,ระบบควบคุมและเครื่องมือวัด,46.10,44.50,
ลาดกระบัง (KMITL),วิศวกรรมศาสตร์,เกษตรอัจฉริยะ,40.50,38.20,
ลาดกระบัง (KMITL),วิศวกรรมศาสตร์,อาหาร,41.20,39.50,
ลาดกระบัง (KMITL),วิศวกรรมศาสตร์,ระบบขนส่งทางราง,42.80,40.10,
ลาดกระบัง (KMITL),วิศวกรรมศาสตร์,เมคาทรอนิกส์,49.50,47.20,
กสพท,แพทยศาสตร์,จุฬาลงกรณ์,66.56,65.25,อันดับ 1 ประเทศ
กสพท,แพทยศาสตร์,ศิริราชพยาบาล (มหิดล),64.12,62.88,
กสพท,แพทยศาสตร์,รามาธิบดี (มหิดล),62.88,61.75,
กสพท,แพทยศาสตร์,วชิรพยาบาล (สมทบ มหิดล),60.25,59.10,
กสพท,แพทยศาสตร์,ธรรมศาสตร์,60.97,59.88,
กสพท,แพทยศาสตร์,เกษตรศาสตร์,N/A,58.50,เปิดรับใหม่
กสพท,แพทยศาสตร์,เชียงใหม่,60.15,59.45,
กสพท,แพทยศาสตร์,ขอนแก่น,59.94,59.36,
กสพท,แพทยศาสตร์,สงขลานครินทร์,58.85,58.12,
กสพท,แพทยศาสตร์,มศว (SWU),59.10,58.40,
กสพท,แพทยศาสตร์,ลาดกระบัง (KMITL),60.50,59.20,อินเตอร์
กสพท,ทันตแพทยศาสตร์,จุฬาลงกรณ์,62.80,60.50,
กสพท,ทันตแพทยศาสตร์,มหิดล,61.50,59.80,
กสพท,ทันตแพทยศาสตร์,ธรรมศาสตร์,59.20,58.10,
กสพท,ทันตแพทยศาสตร์,เชียงใหม่,58.15,57.20,
กสพท,ทันตแพทยศาสตร์,ขอนแก่น,57.50,56.80,
กสพท,ทันตแพทยศาสตร์,สงขลานครินทร์,56.20,55.50,
กสพท,ทันตแพทยศาสตร์,มศว (SWU),58.40,57.10,
กสพท,เภสัชศาสตร์,จุฬาลงกรณ์ (บริบาล/อุตสาหการ),56.50,54.20,
กสพท,เภสัชศาสตร์,มหิดล,55.20,53.80,
กสพท,เภสัชศาสตร์,ธรรมศาสตร์,54.50,53.10,
กสพท,เภสัชศาสตร์,เชียงใหม่,53.10,52.20,
กสพท,เภสัชศาสตร์,ขอนแก่น,51.20,50.10,
กสพท,เภสัชศาสตร์,สงขลานครินทร์,50.50,49.80,
กสพท,เภสัชศาสตร์,มศว (SWU),52.80,51.50,
กสพท,สัตวแพทยศาสตร์,จุฬาลงกรณ์,54.10,52.80,
กสพท,สัตวแพทยศาสตร์,เกษตรศาสตร์,52.50,51.20,
กสพท,สัตวแพทยศาสตร์,มหิดล,51.80,50.50,
กสพท,สัตวแพทยศาสตร์,เชียงใหม่,50.10,49.20,
กสพท,สัตวแพทยศาสตร์,ขอนแก่น,48.50,47.80,
มจพ (KMUTNB),วิศวกรรมศาสตร์,การผลิต (รูปแบบ 1),43.15,41.80,รูปแบบ 1 คะแนนต่ำกว่าเพราะเกณฑ์โหด
มจพ (KMUTNB),วิศวกรรมศาสตร์,การผลิต (รูปแบบ 2),62.50,60.10,
มจพ (KMUTNB),วิศวกรรมศาสตร์,หุ่นยนต์และระบบอัตโนมัติ (รูปแบบ 1),45.50,44.20,
มจพ (KMUTNB),วิศวกรรมศาสตร์,หุ่นยนต์และระบบอัตโนมัติ (รูปแบบ 2),64.20,62.50,
มจพ (KMUTNB),วิศวกรรมศาสตร์,เคมี (รูปแบบ 1),41.20,39.50,
มจพ (KMUTNB),วิศวกรรมศาสตร์,เคมี (รูปแบบ 2),56.78,54.20,
มจพ (KMUTNB),วิศวกรรมศาสตร์,เครื่องกล (รูปแบบ 1),42.50,40.94,
มจพ (KMUTNB),วิศวกรรมศาสตร์,เครื่องกล (รูปแบบ 2),63.50,61.20,
มจพ (KMUTNB),วิศวกรรมศาสตร์,ไฟฟ้า (รูปแบบ 1),44.80,42.50,
มจพ (KMUTNB),วิศวกรรมศาสตร์,ไฟฟ้า (รูปแบบ 2),65.20,63.10,
มจพ (KMUTNB),วิศวกรรมศาสตร์,โยธา (รูปแบบ 1),40.10,38.50,
มจพ (KMUTNB),วิศวกรรมศาสตร์,โยธา (รูปแบบ 2),61.80,59.40,
มจพ (KMUTNB),วิศวกรรมศาสตร์,อุตสาหการ (รูปแบบ 1),44.50,43.00,
มจพ (KMUTNB),วิศวกรรมศาสตร์,วัสดุ (รูปแบบ 1),38.50,37.25,
มจพ (KMUTNB),วิศวกรรมศาสตร์,วัสดุ (รูปแบบ 2),55.20,53.50,
มจพ (KMUTNB),วิศวกรรมศาสตร์,โลจิสติกส์ (รูปแบบ 1),55.80,54.40,
มจพ (KMUTNB),วิศวกรรมศาสตร์,ขนถ่ายวัสดุ (รูปแบบ 1),39.50,38.20,
มจพ (KMUTNB),วิทยาศาสตร์ประยุกต์,คณิตศาสตร์ประยุกต์,38.20,36.50,
มจพ (KMUTNB),วิทยาศาสตร์ประยุกต์,เคมีอุตสาหกรรม,35.50,34.10,
มจพ (KMUTNB),วิทยาศาสตร์ประยุกต์,วิทยาการคอมพิวเตอร์,55.20,53.80,สาขาฮิต
มจพ (KMUTNB),วิทยาศาสตร์ประยุกต์,วิทยาการคอมพิวเตอร์ (สองภาษา),48.50,46.90,
มจพ (KMUTNB),วิทยาศาสตร์ประยุกต์,เทคโนโลยีชีวภาพ,34.80,33.50,
มจพ (KMUTNB),วิทยาศาสตร์ประยุกต์,ฟิสิกส์อุตสาหกรรมและอุปกรณ์การแพทย์,33.50,32.20,
มจพ (KMUTNB),วิทยาศาสตร์ประยุกต์,สถิติประยุกต์,40.10,38.80,
มจพ (KMUTNB),วิทยาศาสตร์ประยุกต์,วิทยาศาสตร์และเทคโนโลยีทางอาหาร,36.20,35.10,
มจพ (KMUTNB),วิทยาศาสตร์ประยุกต์,สถิติธุรกิจและการประกันภัย,42.50,41.20,
จุฬาลงกรณ์,วิศวกรรมศาสตร์,ทั่วไป (เลือกสาขาปี 2),62.15,58.83,
จุฬาลงกรณ์,วิศวกรรมศาสตร์,คอมพิวเตอร์,67.20,65.10,
จุฬาลงกรณ์,วิศวกรรมศาสตร์,เคมี,55.80,51.75,
จุฬาลงกรณ์,วิศวกรรมศาสตร์,นิวเคลียร์และรังสี,51.50,49.13,
จุฬาลงกรณ์,วิศวกรรมศาสตร์,สำรวจ,52.80,50.96,
จุฬาลงกรณ์,วิศวกรรมศาสตร์,ทรัพยากรธรณี,53.40,51.48,
จุฬาลงกรณ์,วิศวกรรมศาสตร์,โลหการและวัสดุ,53.10,51.15,
จุฬาลงกรณ์,วิศวกรรมศาสตร์,สิ่งแวดล้อม,54.50,52.20,
บางมด (KMUTT),วิศวกรรมศาสตร์,คอมพิวเตอร์ (หลักสูตรไทย),65.40,63.10,
บางมด (KMUTT),วิศวกรรมศาสตร์,คอมพิวเตอร์ (นานาชาติ),58.50,56.20,
บางมด (KMUTT),วิศวกรรมศาสตร์,เครื่องกล,48.50,46.80,
บางมด (KMUTT),วิศวกรรมศาสตร์,เคมี,46.20,44.50,
บางมด (KMUTT),วิศวกรรมศาสตร์,ไฟฟ้า,49.80,47.50,
บางมด (KMUTT),วิศวกรรมศาสตร์,โยธา,45.10,43.20,
บางมด (KMUTT),วิศวกรรมศาสตร์,อุตสาหการ,44.50,42.80,
บางมด (KMUTT),วิศวกรรมศาสตร์,สิ่งแวดล้อม,40.50,39.10,
บางมด (KMUTT),วิศวกรรมศาสตร์,เครื่องมือและวัสดุ,41.50,39.80,
บางมด (KMUTT),วิศวกรรมศาสตร์,ระบบควบคุมและเครื่องมือวัด,47.20,45.50,
บางมด (KMUTT),วิศวกรรมศาสตร์,เมคาทรอนิกส์,48.80,47.10,
บางมด (KMUTT),วิศวกรรมศาสตร์,อาหาร,40.80,39.20,
บางมด (KMUTT),วิศวกรรมศาสตร์,ระบบการผลิต,42.10,40.50,
เกษตรศาสตร์,วิศวกรรมศาสตร์,ทั่วไป (เข้าภาคปี 2),54.20,52.80,
เกษตรศาสตร์,วิศวกรรมศาสตร์,คอมพิวเตอร์และเทคโนโลยีดิจิทัล,66.50,64.80,
เกษตรศาสตร์,วิศวกรรมศาสตร์,เครื่องกล,48.90,47.50,
เกษตรศาสตร์,วิศวกรรมศาสตร์,ไฟฟ้า,50.10,48.90,
เกษตรศาสตร์,วิศวกรรมศาสตร์,เคมี,46.50,45.20,
เกษตรศาสตร์,วิศวกรรมศาสตร์,โยธา,45.20,43.80,
เกษตรศาสตร์,วิศวกรรมศาสตร์,การบินและอวกาศ,56.80,55.10,
เกษตรศาสตร์,วิศวกรรมศาสตร์,อุตสาหการ,47.50,46.10,
เกษตรศาสตร์,วิศวกรรมศาสตร์,วัสดุ,40.20,39.50,
จุฬาลงกรณ์,วิทยาศาสตร์,คณิตศาสตร์/คอมพิวเตอร์,62.10,60.50,
จุฬาลงกรณ์,วิทยาศาสตร์,เคมี/ชีวเคมี,48.50,45.80,
จุฬาลงกรณ์,วิทยาศาสตร์,ชีววิทยา/สัตววิทยา/พฤกษศาสตร์,46.20,43.50,
จุฬาลงกรณ์,วิทยาศาสตร์,ฟิสิกส์,44.80,42.20,
มหิดล,วิทยาศาสตร์,ทั่วไป (เลือกสาขาปี 2),45.50,43.80,
มหิดล,วิทยาศาสตร์,คณิตศาสตร์ประกันภัย (นานาชาติ),52.50,50.20,
มหิดล,วิทยาศาสตร์,ชีวการแพทย์,50.20,48.50,
มศว (SWU),วิทยาศาสตร์,วิทยาการคอมพิวเตอร์,55.40,54.10,
มศว (SWU),วิทยาศาสตร์,คณิตศาสตร์,40.50,39.20,
มศว (SWU),วิทยาศาสตร์,เคมี,38.20,36.50,
มศว (SWU),วิทยาศาสตร์,ชีววิทยา,37.50,35.80,
ลาดกระบัง (KMITL),วิทยาศาสตร์,เคมีอุตสาหกรรม,36.50,35.20,
ลาดกระบัง (KMITL),วิทยาศาสตร์,วิทยาการคอมพิวเตอร์,52.80,51.50,
ลาดกระบัง (KMITL),วิทยาศาสตร์,คณิตศาสตร์ประยุกต์,38.40,37.10,
ขอนแก่น (KKU),วิทยาศาสตร์,ทั่วไป (เคมี/ชีวะ/ฟิสิกส์),30.50,29.80,
ขอนแก่น (KKU),วิทยาศาสตร์,วิทยาการคอมพิวเตอร์,40.50,39.20,
เกษตรศาสตร์,วิทยาศาสตร์,วิทยาการคอมพิวเตอร์,58.20,56.80,
เกษตรศาสตร์,วิทยาศาสตร์,เคมี,40.10,38.50,
